Atlanta, GA, 47.7, 43.7, 41.7, 420,003
Colorado Springs, CO, 36.1, 18.8, 44.7, 416,427
Omaha, NE, 48.2, 24.0, 41.7, 408,958
Raleigh, NC, 31.3, 29.4, 39.3, 403,892
Miami, FL, 76.6, 57.0, 64.0, 399,457
Cleveland, OH, 57.1, 43.9, 52.3, 396,815
Tulsa, OK, 39.0, 22.7, 47.2, 391,906
Oakland, CA, 75.3, 56.6, 65.5, 390,724
Minneapolis, MN, 71.4, 55.0, 83.5, 382,578
Wichita, KS, 34.8, 19.7, 43.9, 382,368
Arlington, TX, 38.1, 0.3, 39.5, 365,438
Bakersfield, CA, 37.3, 24.6, 43.7, 347,483
New Orleans, LA, 58.0, 43.9, 65.7, 343,829
Honolulu, HI, 65.7, 56.3, 51.0, 337,256
Anaheim, CA, 55.7, 33.9, 52.3, 336,265
Tampa, FL, 49.5, 31.3, 55.2, 335,709
Aurora, CO, 42.5, 35.2, 53.3, 325,078
Santa Ana, CA, 67.1, 43.3, 62.2, 324,528
St. Louis, MO, 65.7, 42.6, 57.7, 319,294
Pittsburgh, PA, 62.4, 55.2, 54.9, 305,704
Corpus Christi, TX, 40.3, 26.6, 42.1, 305,215
Riverside, CA, 42.7, 29.9, 48.9, 303,871
Cincinnati, OH, 49.1, 44.1, 35.6, 296,943
Lexington-Fayette, KY, 34.3, 26.6, 45.7, 295,803
Anchorage, AK, 30.9, 21.6, 51.8, 291,826
Stockton, CA, 43.7, 25.4, 52.4, 291,707
Toledo, OH, 46.4, --, 45.6, 287,208
St. Paul, MN, 60.4, 46.4, 64.0, 285,068
Newark, NJ, 75.9, 65.0, 51.1, 277,140
Greensboro, NC, 29.4, --, 32.2, 269,666
Buffalo, NY, 66.6, 47.5, 62.8, 261,310
Plano, TX, 40.5, 14.8, 52.0, 259,841
Lincoln, NE, 44.1, 24.3, 58.5, 258,379
Henderson, NV, 30.0, 24.6, 43.5, 257,729
Fort Wayne, IN, 31.7, 21.7, 41.0, 253,691
Jersey City, NJ, 86.6, 70.5, 63.9, 247,597
St. Petersburg, FL, 43.0, 33.5, 58.5, 244,769
Chula Vista, CA, 45.6, 35.4, 41.2, 243,916
Norfolk, VA, 45.8, 35.7, 46.9, 242,803
Orlando, FL, 41.1, 32.7, 56.8, 238,300
Chandler, AZ, 35.4, 24.4, 55.4, 236,123
Laredo, TX, 36.8, --, 39.6, 236,091
Madison, WI, 49.7, 34.9, 65.5, 233,209
Winston-Salem, NC, 22.5, --, 29.2, 229,617
Lubbock, TX, 39.0, 20.6, 42.5, 229,573
Baton Rouge, LA, 39.1, --, 44.3, 229,493
Durham, NC, 30.3, 27.5, 37.6, 228,330
Garland, TX, 40.2, 29.2, 40.6, 226,876
Glendale, AZ, 40.2, 33.5, 56.5, 226,721
Reno, NV, 40.2, 24.2, 52.0, 225,221
Hialeah, FL, 67.9, 39.0, 50.6, 224,669
Paradise, NV, 50.1, 38.1, 50.1, 223,167
Chesapeake, VA, 21.3, 13.9, 34.7, 222,209
Scottsdale, AZ, 31.9, 23.3, 56.4, 217,385
North Las Vegas, NV, 33.7, 33.3, 48.5, 216,961
Irving, TX, 44.8, 28.7, 42.0, 216,290
Fremont, CA, 49.9, 36.3, 54.4, 214,089
Irvine, CA, 43.2, 25.7, 69.5, 212,375
Birmingham, AL, 33.2, 21.5, 30.7, 212,237
Rochester, NY, 60.7, 41.3, 59.9, 210,565
San Bernardino, CA, 45.0, 30.9, 43.6, 209,924
Spokane, WA, 49.2, 36.0, 52.1, 208,916
Gilbert, AZ, 29.0, 15.1, 52.6, 208,453
Arlington, VA, 71.2, 58.6, 72.3, 207,627
Montgomery, AL, 25.8, 16.4, 32.9, 205,764
Boise City, ID, 38.5, 22.6, 62.3, 205,671
Richmond, VA, 50.9, --, 50.8, 204,214
Des Moines, IA, 45.0, 30.1, 39.4, 203,433
Fayetteville, NC, 21.4, --, 29.7, 200,564
